id,name,item_id,slug,description,category,subcategory,is_pace_product,product_url,image_url,blade_size_mm,blade_size_inches,automation_level,wheel_size_inches,max_cutting_capacity_mm,max_cutting_capacity_inches,suitable_for_material_types,suitable_for_hardness,suitable_for_sample_sizes,suitable_for_sample_shapes,suitable_for_throughput,suitable_for_applications,min_budget_level,tags,status,sort_order,created_at,updated_at
00d1ce13-2639-40c9-af0b-317a83207fd3,ZETA-2000S Automated Fluid Dispenser,ZETA-2000S,zeta-2000s,"4-fluid automated / manual dispenser for controlling and regulating the application of abrasives such as diamond, alumina, colloidal silica and lubricant solutions onto the polishing surface.",polishing,automated,true,,,,,automated,,,,,,"[""small"",""medium"",""large""]",,"[""high"",""very-high""]",,premium,"[""polishing"",""dispenser"",""automated"",""fluid-dispensing""]",active,0,2025-12-05 19:56:30.324377+00,2025-12-17 00:45:12.119775+00
023423ae-c53a-4410-8221-29cbca23e78f,PENTA-5000A 5-Station Hand Grinder,PENTA-5000A,penta-5000a,"5-station hand grinder for coarse to fine grinding. Offers 5 stations with 240, 360, 600, 800 and 1200 grit abrasive.",grinding,hand-belt,true,https://metallographic.com/metallographic-equipment/grinding-polishing/hand-belt-grinders.html,/images/equipment/grinding & polishing/hand & belt grinders/penta-5000a/penta-5000a-cover.webp,,,manual,,,,,,"[""small"",""medium""]",,"[""low"",""medium""]",,budget-conscious,"[""grinding"",""hand-grinder"",""belt-grinder""]",active,0,2025-12-05 19:56:30.324377+00,2025-12-17 15:40:52.567603+00
0247e3cc-fe40-4086-a04e-d3a40ba79f82,OMEGA-AUTO-HB Automated Brinell Hardness Tester,OMEGA-AUTO-HB,omega-auto-hb,Fully automated Brinell tester designed to evaluate metallographic specimen hardness. Testing range of ~8 to 650 HBW. One key operation.,hardness,brinell-microvickers,true,,,,,automated,,,,,,"[""small"",""medium"",""large""]",,"[""high"",""very-high""]",,premium,"[""hardness"",""brinell"",""automated"",""fully-automated""]",active,0,2025-12-05 19:56:30.324377+00,2025-12-17 00:45:12.119775+00
03ff0d14-f51a-40c7-bffe-273ac1610311,OMEGA-RT-60/150 Semi-Automated Rockwell Hardness Tester,OMEGA-RT-60/150,omega-rt-60-150,"Semi-automated digital Rockwell hardness tester. Features 60 Kgf, 100 Kgf and 150 Kgf loading, automatic conversion to 14 different hardness scales.",hardness,rockwell,true,,,,,semi-automated,,,,,,"[""small"",""medium"",""large""]",,"[""low"",""medium""]",,standard,"[""hardness"",""rockwell"",""semi-automated""]",active,0,2025-12-05 19:56:30.324377+00,2025-12-17 00:45:12.119775+00
09e32d67-89ce-492a-bff2-5acc9f36ffd2,UCLEAN Ultrasonic Cleaner,UCLEAN,uclean,Ultrasonic cleaner for sample cleaning.,cleaning,ultrasonic-cleaning,true,,,,,automated,,,,,,"[""small"",""medium"",""large""]",,"[""low"",""medium"",""high""]",,standard,"[""cleaning"",""ultrasonic""]",active,0,2025-12-05 19:56:30.324377+00,2025-12-05 19:56:30.324377+00
0a46e2af-4cd8-43e9-961a-81522d06bf49,OMEGA-HB Manual Brinell Hardness Tester,OMEGA-HB,omega-hb,"Basic economical manual Brinell tester designed to evaluate metallographic specimen hardness. Testing range of ~8 to 650 HBW. Test forces (kg) 62.5, 100, 125, 187.5, 250, 500, 750, 1000, 1500, 3000.",hardness,brinell-microvickers,true,,/images/equipment/hardness testing/brinell & microvickers/omega-hb/omega-hb-cover.webp,,,manual,,,,,,"[""small"",""medium"",""large""]",,"[""low""]",,budget-conscious,"[""hardness"",""brinell"",""manual""]",active,0,2025-12-05 19:56:30.324377+00,2025-12-17 15:40:52.567603+00
0e1e574b-99d1-4a19-bea1-42deaefe634d,MEGA-M250S Manual Abrasive Cutter,MEGA-M250S,mega-m250s,Manual wheel feed abrasive cutting machine for 10-inch (250 mm) abrasive blades.,sectioning,manual,true,https://metallographic.com/metallographic-equipment/abrasive-sectioning/manual-abrasive-cutters.html,/images/equipment/abrasive sectioning/manual abrasive cutters/mega-m250s/mega-m250s-cover.webp,250,10,manual,,,,,,"[""small""]",,"[""low"",""medium""]",,budget-conscious,"[""sectioning"",""abrasive"",""manual"",""250mm"",""10-inch""]",active,0,2025-12-05 19:56:21.914044+00,2025-12-17 15:40:52.567603+00
1665dc25-55f3-435e-bfcd-66917add209c,IM-3000B Inverted Metallurgical Microscope,IM-3000B,im-3000b,"Inverted metallurgical microscope with Brightfield illumination. Includes 10X extra wide eyepiece, 4X, 10X, 20X, 50X and 100X infinite plan achromatic objectives, trinocular head, mechanical stage and color filters.",microscopy,metallurgical,true,,/images/equipment/microscopy/metallurgical microscopes/im-3000b/im-3000b-cover.webp,,,manual,,,,,,"[""small"",""medium"",""large""]",,"[""low"",""medium""]",,standard,"[""microscopy"",""inverted"",""brightfield""]",active,0,2025-12-05 19:56:30.324377+00,2025-12-17 15:40:52.567603+00
1f91d0c2-cc03-42c1-9ae6-074babf34170,PICO-155S Precision Cutter,PICO-155S,pico-155s,Precision cutter with touch-screen controls and built-in recirculating pump. Fits 3-inch (75 mm) up to 7-inch (175 mm) diameter blades. Variable speed 50-1500 rpm.,sectioning,precision-wafering,true,https://metallographic.com/metallographic-equipment/precision-wafering/gravity-feed-precision-cutters.html,/images/equipment/precision wafering/gravity feed precision cutters/pico-155s/pico-155s-cover.webp,,,manual,,,,,,"[""small""]",,"[""low"",""medium""]",,standard,"[""sectioning"",""precision"",""wafering"",""diamond-blade""]",active,0,2025-12-05 19:56:30.324377+00,2025-12-17 15:40:52.567603+00
1f9f75b0-d88b-417a-93a8-54929d05f99c,ALPHA-MHT-1000Z Micro Vickers Hardness Tester,ALPHA-MHT-1000Z,alpha-mht-1000z,"Auto turret Micro Vickers hardness testing instrument for Vickers and Knoop indenters. Variable testing forces (10, 25, 50, 100, 200, 300, 500, 1000 gram load), 10X and 40X objectives.",hardness,microhardness,true,,/images/equipment/hardness testing/microhardness tester/alpha-mht-1000z/alpha-mht-1000z-cover.webp,,,automated,,,,,,"[""small"",""medium""]",,"[""medium"",""high""]",,premium,"[""hardness"",""microhardness"",""vickers"",""knoop"",""automated""]",active,0,2025-12-05 19:56:30.324377+00,2025-12-17 15:40:52.567603+00
